,Title,Year,Genres,Language,Country,Content Rating,Duration,Aspect Ratio,Budget,Gross Earnings,Director,Actor 1,Actor 2,Actor 3,Facebook Likes - Director,Facebook Likes - Actor 1,Facebook Likes - Actor 2,Facebook Likes - Actor 3,Facebook Likes - cast Total,Facebook likes - Movie,Facenumber in posters,User Votes,Reviews by Users,Reviews by Crtiics,IMDB Score
1032,Ulee's Gold ,1997,Drama,English,USA,R,113,1.66,2700000.0,9054736.0,Victor Nunez,Peter Fonda,Patricia Richardson,Vanessa Zima,9,402,222,42.0,787,381,1,5744,57,61.0,7.1
1033,Volcano ,1997,Action|Drama|Sci-Fi|Thriller,English,USA,PG-13,104,1.85,90000000.0,47474112.0,Mick Jackson,Don Cheadle,Anne Heche,Gaby Hoffmann,81,3000,643,612.0,5062,2000,0,58227,181,84.0,5.4
1034,Wag the Dog ,1997,Comedy|Drama,English,USA,R,97,1.85,15000000.0,43022524.0,Barry Levinson,Robert De Niro,Kirsten Dunst,John Michael Higgins,272,22000,4000,957.0,29252,12000,0,67604,218,130.0,7.1
1035,Warriors of Virtue ,1997,Action|Adventure|Fantasy,English,USA,PG,101,2.35,35000000.0,6448817.0,Ronny Yu,Marley Shelton,Lee Arenberg,Angus Macfadyen,31,690,457,448.0,1993,0,0,2189,31,24.0,4.6
1036,20 Dates ,1998,Biography|Comedy|Romance,English,USA,R,87,1.85,60000.0,536767.0,Myles Berkowitz,Tia Carrere,Tom Ardavany,Robert McKee,0,1000,184,153.0,1362,30,0,1622,83,32.0,5.3
1037,54 ,1998,Drama|Music,English,USA,R,121,1.85,13000000.0,16574731.0,Mark Christopher,Salma Hayek,Ellen Albertini Dow,Sela Ward,15,4000,957,812.0,6910,0,4,27675,181,63.0,5.8
1038,A Bug's Life ,1998,Adventure|Animation|Comedy|Family|Fantasy,English,USA,G,95,2.35,120000000.0,162792677.0,John Lasseter,Kevin Spacey,Madeline Kahn,John Ratzenberger,487,18000,1000,1000.0,24205,0,0,211226,317,117.0,7.2
1039,A Civil Action ,1998,Drama,English,USA,PG-13,115,2.35,60000000.0,56702901.0,Steven Zaillian,Robert Duvall,Kathleen Quinlan,Sydney Pollack,234,3000,552,521.0,4713,1000,1,23302,181,110.0,6.5
1040,A Night at the Roxbury ,1998,Comedy|Music|Romance,English,USA,PG-13,82,1.85,17000000.0,30324946.0,John Fortenberry,Will Ferrell,Chris Kattan,Dan Hedaya,12,8000,357,281.0,9271,0,2,48458,239,63.0,6.2
1041,A Simple Plan ,1998,Crime|Drama|Thriller,English,UK,R,121,1.85,17000000.0,16311763.0,Sam Raimi,Gary Cole,Bridget Fonda,Chelcie Ross,0,989,888,244.0,2365,0,1,50656,416,125.0,7.5
1042,American History X ,1998,Crime|Drama,English,USA,R,101,1.85,7500000.0,6712241.0,Tony Kaye,Ethan Suplee,Beverly D'Angelo,Stacy Keach,194,1000,816,602.0,3858,35000,2,782437,1420,162.0,8.6
1043,Among Giants ,1998,Comedy|Romance,English,UK,R,93,,2500000.0,64359.0,Sam Miller,Rachel Griffiths,Alan Williams,Rob Jarvis,12,578,29,15.0,643,108,1,811,26,31.0,5.9
1044,Antz ,1998,Adventure|Animation|Comedy|Family,English,USA,PG,83,1.85,105000000.0,90646554.0,Eric Darnell,Sylvester Stallone,Woody Allen,Anne Bancroft,35,13000,11000,754.0,25788,0,0,124641,289,131.0,6.6
1045,Armageddon ,1998,Action|Adventure|Sci-Fi|Thriller,English,USA,PG-13,153,2.35,140000000.0,201573391.0,Michael Bay,Bruce Willis,Steve Buscemi,Will Patton,0,13000,12000,537.0,26029,11000,0,322395,1171,167.0,6.6
1046,Babe: Pig in the City ,1998,Adventure|Comedy|Drama|Family|Fantasy,English,Australia,G,97,1.85,80000000.0,18318000.0,George Miller,Adam Goldberg,Elizabeth Daily,Glenne Headly,750,1000,971,231.0,2521,964,0,24868,216,61.0,5.8
1047,Barney's Great Adventure ,1998,Adventure|Family,English,Canada,G,76,1.85,15000000.0,11144518.0,Steve Gomer,Trevor Morgan,Kyla Pratt,Shirley Douglas,9,595,417,47.0,1139,436,0,2724,53,24.0,2.8
1048,Beloved ,1998,Drama|History|Horror,English,USA,R,172,1.85,55000000.0,22843047.0,Jonathan Demme,Oprah Winfrey,Kimberly Elise,Hill Harper,438,852,637,466.0,2397,853,1,6082,207,78.0,5.9
1049,Blade ,1998,Action|Horror,English,USA,R,110,2.35,45000000.0,70001065.0,Stephen Norrington,Sanaa Lathan,Traci Lords,Udo Kier,45,886,650,595.0,3174,0,1,191437,582,184.0,7.1
1050,Bride of Chucky ,1998,Comedy|Fantasy|Horror|Romance,English,Canada,R,89,1.85,25000000.0,32368960.0,Ronny Yu,Alexis Arquette,Park Bench,Vince Corazza,31,285,81,71.0,667,0,0,39768,292,114.0,5.3
1051,Broken Vessels ,1998,Drama,English,USA,R,90,1.85,600000.0,13493.0,Scott Ziehl,William Smith,Jason London,Brent David Fraser,4,919,711,218.0,2288,51,0,531,19,18.0,6.6
1052,Buffalo '66 ,1998,Comedy|Crime|Drama|Romance,English,USA,R,110,1.85,1500000.0,2365931.0,Vincent Gallo,Anjelica Huston,Vincent Gallo,Jan-Michael Vincent,787,1000,787,642.0,4762,0,2,36657,318,106.0,7.5
1053,Bulworth ,1998,Comedy|Drama|Romance,English,USA,R,108,1.85,30000000.0,26525834.0,Warren Beatty,Warren Beatty,Kirk Baltz,Graham Beckel,631,631,199,95.0,1023,0,1,21998,227,110.0,6.8
1054,Can't Hardly Wait ,1998,Comedy|Romance,English,USA,PG-13,100,1.85,10000000.0,25339117.0,Harry Elfont,Ethan Embry,Lauren Ambrose,Charlie Korsmo,4,982,945,678.0,4259,0,4,37885,247,76.0,6.5
1055,Celebrity ,1998,Comedy|Drama,English,USA,R,113,1.66,12000000.0,5032496.0,Woody Allen,Melanie Griffith,Aleksa Palladino,Greg Mottola,11000,537,255,99.0,943,652,0,20576,161,114.0,6.3
1056,Central Station ,1998,Drama,Portuguese,Brazil,R,113,2.35,2900000.0,5595428.0,Walter Salles,Fernanda Montenegro,Matheus Nachtergaele,Othon Bastos,179,119,14,11.0,167,0,0,28951,257,71.0,8.0
1057,Chairman of the Board ,1998,Comedy,English,USA,PG-13,95,1.85,10000000.0,306715.0,Alex Zamm,Taylor Negron,Raquel Welch,Larry Miller,43,1000,788,611.0,5213,724,1,5143,62,12.0,2.3
1058,City of Angels ,1998,Drama|Fantasy|Romance,English,Germany,PG-13,114,2.35,55000000.0,78745923.0,Brad Silberling,Nicolas Cage,Andre Braugher,Colm Feore,52,12000,702,539.0,13905,0,1,94407,322,110.0,6.7
1059,Clay Pigeons ,1998,Comedy|Crime,English,Germany,R,104,1.85,8000000.0,1789892.0,David Dobkin,Janeane Garofalo,Vince Vieluf,Kevin Rahm,71,1000,261,168.0,1795,515,1,9494,109,49.0,6.6
1060,"Dancer, Texas Pop. 81 ",1998,Comedy|Drama|Family,English,USA,PG,97,1.85,,565592.0,Tim McCanlies,Ethan Embry,Michael O'Neill,Alexandra Holden,23,982,599,326.0,2580,500,0,2189,63,15.0,6.8
1061,Dark City ,1998,Action|Drama|Fantasy|Mystery|Sci-Fi|Thriller,English,Australia,R,111,2.35,27000000.0,14337579.0,Alex Proyas,Rufus Sewell,William Hurt,Bruce Spence,295,3000,882,531.0,4696,14000,1,156929,624,222.0,7.7
1062,Dead Man on Campus ,1998,Comedy,English,USA,R,96,1.85,14000000.0,15062898.0,Alan Cohn,Alyson Hannigan,Linda Cardellini,Poppy Montgomery,0,3000,2000,654.0,6861,645,0,11729,106,37.0,6.0
1063,Deep Impact ,1998,Action|Drama|Romance|Sci-Fi|Thriller,English,USA,PG-13,120,2.35,75000000.0,140459099.0,Mimi Leder,Morgan Freeman,Jon Favreau,Robert Duvall,75,11000,4000,3000.0,22750,0,0,135601,493,125.0,6.1
1064,Deep Rising ,1998,Action|Adventure|Horror|Sci-Fi,English,USA,R,106,2.35,45000000.0,11146409.0,Stephen Sommers,Djimon Hounsou,Jason Flemyng,Wes Studi,208,3000,1000,855.0,6558,0,0,26551,273,106.0,6.0
1065,Desert Blue ,1998,Drama,English,USA,R,90,1.85,2000000.0,99147.0,Morgan J. Freeman,Ethan Suplee,John Heard,Sara Gilbert,204,1000,697,697.0,3207,69,3,1884,28,31.0,6.2
1066,Dirty Work ,1998,Comedy,English,Canada,PG-13,82,1.85,13000000.0,9975684.0,Bob Saget,Don Rickles,Jack Warden,Traylor Howard,799,721,359,294.0,1805,679,0,20033,117,32.0,6.4
1067,Disturbing Behavior ,1998,Horror|Mystery|Sci-Fi|Thriller,English,Australia,R,84,1.85,15000000.0,17411331.0,David Nutter,Bruce Greenwood,Ethan Embry,Katharine Isabelle,119,989,982,918.0,4660,673,3,17328,237,96.0,5.5
1068,Doctor Dolittle ,1998,Comedy|Family|Fantasy,English,USA,PG-13,85,1.85,71500000.0,144156464.0,Betty Thomas,Oliver Platt,Raven-Symoné,Peter Boyle,84,1000,1000,595.0,4166,694,0,74343,98,73.0,5.3
1069,Earth ,1998,Drama|Romance|War,Hindi,India,Unrated,110,,,528972.0,Deepa Mehta,Nandita Das,Gulshan Grover,Eric Peterson,375,113,102,59.0,371,522,0,5639,55,34.0,7.8
1070,Elizabeth ,1998,Biography|Drama|History,English,UK,R,124,1.85,25000000.0,30012990.0,Shekhar Kapur,Fanny Ardant,John Gielgud,Eric Cantona,159,288,249,240.0,1006,0,1,75973,409,141.0,7.5
1071,Enemy of the State ,1998,Action|Crime|Drama|Mystery|Thriller,English,USA,R,140,2.35,90000000.0,111544445.0,Tony Scott,Will Smith,Jake Busey,Lisa Bonet,12000,10000,660,619.0,11951,0,4,188116,415,81.0,7.3
1072,Ever After: A Cinderella Story ,1998,Comedy|Drama|Romance,English,USA,PG-13,121,2.35,26000000.0,65703412.0,Andy Tennant,Anjelica Huston,Dougray Scott,Jeanne Moreau,72,1000,794,343.0,2747,0,1,57958,345,92.0,7.0
1073,Fear and Loathing in Las Vegas ,1998,Adventure|Comedy|Drama,English,USA,R,118,2.35,18500000.0,10562387.0,Terry Gilliam,Johnny Depp,Michael Jeter,Ellen Barkin,0,40000,693,551.0,43105,15000,0,213226,648,156.0,7.7
1074,Gods and Monsters ,1998,Biography|Drama,English,USA,R,105,2.35,3500000.0,6390032.0,Bill Condon,Brendan Fraser,Lynn Redgrave,Kevin J. O'Connor,386,3000,258,248.0,4238,0,2,24977,229,127.0,7.5
1075,Half Baked ,1998,Comedy|Crime,English,USA,R,82,1.85,8000000.0,17278980.0,Tamra Davis,Dave Chappelle,Harland Williams,Clarence Williams III,33,744,503,475.0,2400,0,0,48225,164,40.0,6.7
1076,Happiness ,1998,Comedy|Drama,English,USA,,134,1.85,3000000.0,3000000.0,Todd Solondz,Philip Seymour Hoffman,Jon Lovitz,Dylan Baker,377,22000,11000,812.0,36859,0,9,55329,499,148.0,7.8
1077,Hard Rain ,1998,Action|Crime|Drama|Thriller,English,USA,R,97,2.35,70000000.0,19819494.0,Mikael Salomon,Morgan Freeman,Minnie Driver,Randy Quaid,13,11000,893,695.0,13628,815,0,26893,126,79.0,5.8
1078,He Got Game ,1998,Drama|Sport,English,USA,R,136,1.85,25000000.0,21554585.0,Spike Lee,Denzel Washington,Milla Jovovich,Rosario Dawson,0,18000,14000,3000.0,37315,0,0,36108,109,48.0,6.9
1079,Holy Man ,1998,Comedy|Drama,English,USA,PG,114,2.35,60000000.0,12065985.0,Stephen Herek,Kelly Preston,Morgan Fairchild,Eric McCormack,65,743,730,440.0,2367,296,1,16260,88,56.0,4.9
1080,Home Fries ,1998,Comedy|Drama|Romance,English,USA,PG-13,91,1.85,15000000.0,10443316.0,Dean Parisot,Catherine O'Hara,Jake Busey,Shelley Duvall,23,925,660,629.0,2913,247,2,7159,88,42.0,5.0
1081,Hope Floats ,1998,Drama|Romance,English,USA,PG-13,114,1.85,30000000.0,60033780.0,Forest Whitaker,Bill Cobbs,Harry Connick Jr.,Gena Rowlands,0,970,631,545.0,2860,0,1,18973,162,65.0,5.9
1082,How Stella Got Her Groove Back ,1998,Comedy|Drama|Romance,English,USA,R,124,1.85,20000000.0,37672350.0,Kevin Rodney Sullivan,Richard Lawson,James Pickens Jr.,Barry Shabaka Henley,8,508,270,232.0,1660,0,1,5427,51,29.0,5.5
1083,I Got the Hook Up ,1998,Comedy,English,USA,R,93,1.85,3500000.0,10305534.0,Michael Martin,Joe Estevez,Master P,Anthony Johnson,0,625,118,78.0,987,280,2,1721,38,19.0,3.9
1084,I Still Know What You Did Last Summer ,1998,Horror|Mystery,English,USA,R,100,2.35,24000000.0,39989008.0,Danny Cannon,Muse Watson,Mekhi Phifer,Bill Cobbs,41,45000,1000,970.0,49847,891,2,55398,418,125.0,4.6
1085,Illuminata ,1998,Drama,English,Spain,R,119,1.85,,836641.0,John Turturro,Beverly D'Angelo,Ben Gazzara,George DiCenzo,0,816,623,54.0,1585,74,0,1402,40,36.0,6.2
1086,Knock Off ,1998,Action|Comedy|Thriller,English,Aruba,R,91,2.35,35000000.0,10076136.0,Hark Tsui,Paul Sorvino,Lela Rochon,Ray Nicholas,85,635,316,105.0,1352,471,0,11512,141,67.0,4.8
1087,La otra conquista ,1998,Drama|History,Spanish,Mexico,R,106,1.85,3500000.0,886410.0,Salvador Carrasco,Elpidia Carrillo,Zaide Silvia Gutiérrez,Damián Delgado,22,174,16,10.0,222,140,0,1024,494,39.0,6.8
1088,Les couloirs du temps: Les visiteurs II ,1998,Comedy|Family|Fantasy|Sci-Fi,French,France,,118,2.35,140000000.0,146072.0,Jean-Marie Poiré,Christian Clavier,Philippe Nahon,Marie-Anne Chazel,8,106,56,11.0,182,136,0,7147,16,8.0,6.0
1089,Lethal Weapon 4 ,1998,Action|Crime|Thriller,English,USA,R,127,2.35,140000000.0,129734803.0,Richard Donner,Jet Li,Rene Russo,Darlene Love,503,5000,808,91.0,6171,0,2,127497,287,141.0,6.6
1090,Little Voice ,1998,Comedy|Drama|Music|Romance,English,UK,R,97,1.85,,4595000.0,Mark Herman,Jim Broadbent,Annette Badland,Brenda Blethyn,39,1000,497,286.0,2103,915,4,13892,160,64.0,7.0
1091,Living Out Loud ,1998,Comedy|Drama|Romance,English,USA,R,100,2.35,12000000.0,12902790.0,Richard LaGravenese,Holly Hunter,Eddie Cibrian,Jenette Goldstein,98,1000,849,604.0,3250,242,1,4052,88,24.0,6.6
1092,"Lock, Stock and Two Smoking Barrels ",1998,Comedy|Crime,English,UK,R,120,1.85,960000.0,3650677.0,Guy Ritchie,Jason Statham,Jason Flemyng,Dexter Fletcher,0,26000,1000,452.0,28294,21000,1,414976,523,116.0,8.2
1093,Lost in Space ,1998,Action|Adventure|Family|Sci-Fi|Thriller,English,USA,PG-13,130,2.35,80000000.0,69102910.0,Stephen Hopkins,Gary Oldman,William Hurt,June Lockhart,81,10000,882,427.0,12186,0,0,58402,370,102.0,5.1
1094,Meet Joe Black ,1998,Drama|Fantasy|Romance,English,USA,PG-13,178,1.85,90000000.0,44606335.0,Martin Brest,Anthony Hopkins,Brad Pitt,Jake Weber,102,12000,11000,551.0,23950,10000,0,169023,703,98.0,7.1
1095,Meet the Deedles ,1998,Comedy|Family,English,USA,PG,93,,24000000.0,4308981.0,Steve Boyum,Paul Walker,M.C. Gainey,A.J. Langer,9,23000,284,254.0,24436,839,2,2265,37,18.0,3.9
1096,Mercury Rising ,1998,Action|Crime|Drama|Thriller,English,USA,R,111,2.35,60000000.0,32940507.0,Harold Becker,Bruce Willis,Miko Hughes,Carrie Preston,17,13000,968,652.0,16536,0,1,54314,127,79.0,6.1
1097,Mercury Rising ,1998,Action|Crime|Drama|Thriller,English,USA,R,111,2.35,60000000.0,32940507.0,Harold Becker,Bruce Willis,Miko Hughes,Carrie Preston,17,13000,969,652.0,16537,0,1,54316,127,79.0,6.1
1098,Mighty Joe Young ,1998,Action|Adventure|Family|Fantasy|Thriller,English,USA,PG,114,1.85,90000000.0,50628009.0,Ron Underwood,Charlize Theron,Mika Boorem,David Paymer,31,9000,496,372.0,10731,0,0,22955,88,35.0,5.6
1099,Mulan ,1998,Adventure|Animation|Family|Fantasy|Musical|War,English,USA,G,88,1.66,90000000.0,120618403.0,Tony Bancroft,Ming-Na Wen,Harvey Fierstein,June Foray,7,2000,500,484.0,4478,12000,0,171792,222,143.0,7.5
1100,Naturally Native ,1998,Drama,English,USA,PG-13,107,,700000.0,10508.0,Jennifer Wynne Farmer,Irene Bedard,Akima,Max Gail,0,752,282,236.0,1763,102,4,103,6,2.0,6.5
1101,Next Stop Wonderland ,1998,Comedy|Drama|Romance,English,USA,R,104,1.85,1000000.0,3386698.0,Brad Anderson,Philip Seymour Hoffman,Callie Thorne,Holland Taylor,122,22000,472,458.0,23461,392,1,4195,86,38.0,6.7
1102,One True Thing ,1998,Drama,English,USA,R,127,1.85,30000000.0,23209440.0,Carl Franklin,Meryl Streep,William Hurt,Tom Everett Scott,73,11000,882,433.0,12785,592,3,9283,112,64.0,7.0
1103,Out of Sight ,1998,Crime|Drama|Romance|Thriller,English,USA,R,123,1.85,48000000.0,37339525.0,Steven Soderbergh,Don Cheadle,Albert Brooks,Keith Hudson,0,3000,745,23.0,3768,0,1,71708,307,158.0,7.0
1104,Patch Adams ,1998,Biography|Comedy|Drama|Romance,English,USA,PG-13,115,2.35,50000000.0,135014968.0,Tom Shadyac,Robin Williams,Philip Seymour Hoffman,Monica Potter,293,49000,22000,878.0,74382,0,1,80580,375,55.0,6.7
1105,Pi ,1998,Drama|Mystery|Thriller,English,USA,R,84,1.66,60000.0,3216970.0,Darren Aronofsky,Mark Margolis,Clint Mansell,Stanley B. Herman,0,1000,512,194.0,2065,24000,0,142619,586,138.0,7.5
1106,Practical Magic ,1998,Comedy|Drama|Fantasy|Romance,English,USA,PG-13,104,2.35,48000000.0,46611204.0,Griffin Dunne,Goran Visnjic,Dianne Wiest,Stockard Channing,165,1000,967,944.0,4294,0,1,55749,257,92.0,6.1
1107,Primary Colors ,1998,Comedy|Drama,English,France,R,143,2.35,65000000.0,38966057.0,Mike Nichols,Maura Tierney,Adrian Lester,Paul Guilfoyle,0,509,317,210.0,1409,688,0,23940,157,117.0,6.7
1108,Ronin ,1998,Action|Adventure|Crime|Thriller,English,UK,R,122,2.35,55000000.0,41609593.0,John Frankenheimer,Robert De Niro,Natascha McElhone,Michael Lonsdale,287,22000,2000,135.0,24270,0,2,145422,572,149.0,7.3
1109,Rounders ,1998,Crime|Drama,English,USA,R,121,2.35,12000000.0,22905674.0,John Dahl,Matt Damon,Martin Landau,Gretchen Mol,131,13000,940,599.0,14890,0,2,121676,290,128.0,7.4
1110,Run Lola Run ,1998,Crime|Drama,German,Germany,R,81,1.85,3500000.0,7267324.0,Tom Tykwer,Moritz Bleibtreu,Ludger Pistor,Armin Rohde,670,486,37,34.0,623,0,1,161471,709,181.0,7.8
1111,Rushmore ,1998,Comedy|Drama,English,USA,R,93,2.35,9000000.0,17096053.0,Wes Anderson,Bill Murray,Connie Nielsen,Olivia Williams,0,13000,933,766.0,15716,5000,2,134458,640,179.0,7.7
1112,Safe Men ,1998,Comedy|Crime,English,USA,R,88,1.85,1000000.0,21210.0,John Hamburg,Harvey Fierstein,Michael Lerner,Josh Pais,29,499,230,117.0,1141,157,0,2735,52,33.0,6.1
1113,Saving Private Ryan ,1998,Action|Drama|War,English,USA,R,169,1.85,70000000.0,216119491.0,Steven Spielberg,Tom Hanks,Vin Diesel,Matt Damon,14000,15000,14000,13000.0,44998,22000,2,881236,2277,219.0,8.6
1114,Shakespeare in Love ,1998,Comedy|Drama|Romance,English,USA,R,123,2.35,25000000.0,100241322.0,John Madden,Tom Wilkinson,Martin Clunes,Simon Callow,108,1000,264,239.0,1690,0,0,175524,752,134.0,7.2
1115,Simon Birch ,1998,Comedy|Drama|Family,English,USA,PG,114,1.85,30000000.0,18252684.0,Mark Steven Johnson,Oliver Platt,Jan Hooks,Dana Ivey,160,1000,367,271.0,1816,0,2,18366,219,60.0,6.9
1116,Six Days Seven Nights ,1998,Action|Adventure|Comedy|Romance,English,USA,PG-13,98,2.35,70000000.0,74329966.0,Ivan Reitman,Harrison Ford,Anne Heche,Amy Sedaris,425,11000,643,397.0,12729,0,2,60910,164,97.0,5.7
1117,Six-String Samurai ,1998,Action|Adventure|Comedy|Drama|Music|Sci-Fi,English,USA,PG-13,91,1.85,2000000.0,124494.0,Lance Mungia,Jeffrey Falcon,Stephane Gauger,Kim De Angelo,4,33,3,0.0,36,0,1,5613,102,51.0,6.7
1118,Slam ,1998,Drama,English,USA,R,100,1.85,1000000.0,982214.0,Marc Levin,Sonja Sohn,Saul Williams,Bonz Malone,12,245,38,6.0,295,603,0,1976,51,16.0,7.2
1119,Sliding Doors ,1998,Comedy|Drama|Fantasy|Romance,English,UK,R,99,1.85,9000000.0,11883495.0,Peter Howitt,Jeanne Tripplehorn,Kevin McNally,John Lynch,29,711,427,161.0,1462,0,1,52805,278,88.0,6.8
1120,Slums of Beverly Hills ,1998,Comedy|Drama,English,USA,R,91,1.85,5000000.0,5480318.0,Tamara Jenkins,Natasha Lyonne,Kevin Corrigan,Jessica Walter,84,1000,778,572.0,2691,462,0,9427,79,60.0,6.6
1121,Small Soldiers ,1998,Action|Adventure|Comedy|Family|Sci-Fi,English,USA,PG-13,108,2.35,40000000.0,53955614.0,Joe Dante,Kirsten Dunst,Denis Leary,Robert Picardo,287,4000,835,823.0,8610,0,0,77415,139,100.0,6.1
1122,Smoke Signals ,1998,Comedy|Drama,English,Canada,PG-13,89,1.85,2000000.0,6719300.0,Chris Eyre,Michael Greyeyes,Irene Bedard,Gary Farmer,149,912,752,580.0,3163,0,3,8224,132,56.0,7.2
1123,Snake Eyes ,1998,Crime|Mystery|Thriller,English,USA,R,98,2.35,69000000.0,55585389.0,Brian De Palma,Nicolas Cage,Mike Starr,John Heard,0,12000,854,697.0,15269,880,1,64121,241,117.0,5.9
1124,Soldier ,1998,Action|Drama|Sci-Fi,English,UK,R,99,2.35,75000000.0,14567883.0,Paul W.S. Anderson,Connie Nielsen,Sean Pertwee,Jason Scott Lee,545,933,722,533.0,2542,0,1,44248,373,67.0,6.0
1125,Sphere ,1998,Drama|Mystery|Sci-Fi|Thriller,English,USA,PG-13,134,2.35,75000000.0,36976367.0,Barry Levinson,Peter Coyote,James Pickens Jr.,Huey Lewis,272,548,270,215.0,1044,0,3,81611,274,108.0,6.0
1126,Star Trek: Insurrection ,1998,Action|Adventure|Sci-Fi|Thriller,English,USA,PG,103,2.35,58000000.0,70117571.0,Jonathan Frakes,LeVar Burton,Jonathan Frakes,Michael Dorn,906,1000,906,748.0,6207,1000,0,56741,515,160.0,6.4
1127,Stepmom ,1998,Comedy|Drama,English,USA,PG-13,124,2.35,50000000.0,91030827.0,Chris Columbus,Julia Roberts,Liam Aiken,Herbert Russell,0,8000,818,701.0,9988,0,2,46482,252,65.0,6.7
1128,Stiff Upper Lips ,1998,Comedy,English,UK,R,94,1.85,,69582.0,Gary Sinyor,Sean Pertwee,Frank Finlay,Samuel West,0,722,338,136.0,1477,109,2,867,21,12.0,6.4
1129,Tango ,1998,Drama|Musical,Spanish,Spain,PG-13,115,2.0,700000000.0,1687311.0,Carlos Saura,Mía Maestro,Juan Luis Galiardo,Miguel Ángel Solá,98,341,26,4.0,371,539,3,2412,40,35.0,7.2
1130,Taxman ,1998,Action|Comedy|Crime|Thriller,English,USA,R,104,1.37,1000000.0,,Avi Nesher,Fisher Stevens,Elizabeth Berkley,Robert Townsend,6,922,893,467.0,2406,18,6,372,20,5.0,5.5
1131,The Big Hit ,1998,Action|Comedy|Crime|Thriller,English,USA,R,91,1.85,13000000.0,27052167.0,Kirk Wong,Bokeem Woodbine,Elliott Gould,Antonio Sabato Jr.,6,904,471,459.0,3353,934,5,24834,168,57.0,6.1
1132,The Big Lebowski ,1998,Comedy|Crime,English,USA,R,117,1.85,15000000.0,17439163.0,Joel Coen,Philip Seymour Hoffman,Jeff Bridges,Steve Buscemi,0,22000,12000,12000.0,47728,35000,1,537419,1028,249.0,8.2
1133,The Big Swap ,1998,Drama,English,UK,,114,1.33,,,Niall Johnson,Kevin Howarth,Mark Caven,Thierry Harcourt,7,19,16,2.0,37,29,0,270,7,4.0,5.6
1134,The Celebration ,1998,Drama,Danish,Denmark,R,105,1.33,1300000.0,1647780.0,Thomas Vinterberg,Ulrich Thomsen,Paprika Steen,Trine Dyrholm,346,280,278,141.0,821,5000,1,65951,258,98.0,8.1
1135,The Faculty ,1998,Horror|Mystery|Sci-Fi,English,USA,R,104,1.85,15000000.0,40064955.0,Robert Rodriguez,Jordana Brewster,Salma Hayek,Clea DuVall,0,4000,4000,1000.0,12170,0,1,92074,502,154.0,6.4
1136,The Horse Whisperer ,1998,Drama|Romance|Western,English,USA,PG-13,170,1.85,60000000.0,75370763.0,Robert Redford,Scarlett Johansson,Kristin Scott Thomas,Jessalyn Gilsig,0,19000,1000,380.0,20683,0,0,32353,263,96.0,6.5
1137,The Land Girls ,1998,Drama|Romance|War,English,UK,R,111,2.35,,146083.0,David Leland,Anna Friel,Catherine McCormack,Steven Mackintosh,2,735,306,227.0,1378,75,3,1591,27,36.0,6.3
1138,The Love Letter ,1998,Fantasy|Romance,English,USA,Unrated,99,1.33,,,Dan Curtis,Jennifer Jason Leigh,Campbell Scott,Estelle Parsons,45,1000,393,224.0,2166,515,1,1465,56,,7.4
1139,The Love Letter ,1998,Fantasy|Romance,English,USA,Unrated,99,1.33,,,Dan Curtis,Jennifer Jason Leigh,Campbell Scott,Estelle Parsons,45,1000,393,224.0,2166,515,1,1465,56,,7.4
1140,The Magic Sword: Quest for Camelot ,1998,Adventure|Animation|Comedy|Drama|Family|Fantasy|Musical,English,USA,G,86,1.85,40000000.0,22717758.0,Frederik Du Chau,Gary Oldman,Jaleel White,Eric Idle,7,10000,908,795.0,14275,0,0,11156,67,34.0,6.2
1141,The Man in the Iron Mask ,1998,Action|Adventure,English,USA,PG-13,132,1.85,35000000.0,56876365.0,Randall Wallace,Leonardo DiCaprio,Anne Parillaud,Judith Godrèche,130,29000,130,80.0,29265,0,1,125219,244,83.0,6.4
1142,The Mask of Zorro ,1998,Action|Adventure|Comedy|Romance|Thriller|Western,English,USA,PG-13,136,2.35,65000000.0,93771072.0,Martin Campbell,Anthony Hopkins,Tony Amendola,Stuart Wilson,258,12000,174,94.0,12396,0,0,135404,318,156.0,6.7
1143,The Mighty ,1998,Comedy|Drama,English,USA,PG-13,100,1.85,,2643689.0,Peter Chelsom,Kieran Culkin,Elden Henson,Gena Rowlands,23,1000,577,545.0,2283,0,4,10499,113,57.0,7.3
1144,The Negotiator ,1998,Action|Crime|Drama|Mystery|Thriller,English,Germany,R,140,2.35,50000000.0,44484065.0,F. Gary Gray,Kevin Spacey,Michael Cudlitz,Siobhan Fallon Hogan,473,18000,822,294.0,20152,3000,2,107227,279,68.0,7.3
1145,The Newton Boys ,1998,Action|Crime|Drama|History|Western,English,USA,PG-13,123,2.35,27000000.0,10297897.0,Richard Linklater,Matthew McConaughey,Lew Temple,Dwight Yoakam,0,11000,597,324.0,11969,315,4,8309,39,63.0,6.0
1146,The Object of My Affection ,1998,Comedy|Drama|Romance,English,USA,R,111,1.85,15000000.0,29106737.0,Nicholas Hytner,Liam Aiken,Tim Daly,Kali Rocha,13,818,511,106.0,1450,849,0,15582,132,65.0,6.0
1147,The Players Club ,1998,Comedy|Drama,English,USA,R,104,1.85,4500000.0,23031390.0,Ice Cube,Bernie Mac,Monica Calhoun,Chrystale Wilson,0,1000,597,498.0,2868,575,9,4345,26,22.0,5.6
